InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
576820,21730,GLASS STAR FROSTED T-LIGHT HOLDER,15,2023-12-02,14.77,C12435,EIRE
544131,21730,GLASS STAR FROSTED T-LIGHT HOLDER,23,2022-03-29,1.63,C12121,EIRE
562955,22633,HAND WARMER UNION JACK,22,2022-12-10,1.6,C12151,United Kingdom
528693,22752,SET 7 BABUSHKA NESTING BOXES,21,2022-11-10,12.54,C12385,United Kingdom
518431,20725,LUNCH BAG RED RETROSPOT,27,2023-11-13,12.43,C12344,United Kingdom
566803,85099B,JUMBO BAG RED RETROSPOT,47,2023-07-21,12.56,C12270,United Kingdom
587313,84406B,CREAM CUPID HEARTS COAT HANGER,7,2022-06-16,3.83,C12484,United Kingdom
568148,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,14,2022-12-12,16.26,C12088,United Kingdom
517159,71053,WHITE METAL LANTERN,47,2023-03-04,13.82,C12339,France
519457,22086,PAPER CHAIN KIT 50S CHRISTMAS,17,2023-01-23,5.55,C12034,Portugal
571211,22752,SET 7 BABUSHKA NESTING BOXES,29,2023-12-31,19.41,C12053,United Kingdom
594663,71053,WHITE METAL LANTERN,36,2022-09-28,12.16,C12201,United Kingdom
582798,21212,PACK OF 72 RETROSPOT CAKE CASES,40,2022-12-04,16.97,C12214,United Kingdom
562592,22960,JAM MAKING SET WITH JARS,15,2023-06-05,3.72,C12040,United Kingdom
513986,20725,LUNCH BAG RED RETROSPOT,11,2023-01-27,4.38,C12135,Portugal
552251,84406B,CREAM CUPID HEARTS COAT HANGER,42,2022-02-10,7.49,C12288,United Kingdom
535222,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,2022-02-17,6.95,C12200,France
570592,84029E,RED WOOLLY HOTTIE WHITE HEART,40,2023-07-01,5.86,C12098,United Kingdom
598806,84406B,CREAM CUPID HEARTS COAT HANGER,14,2022-01-05,17.05,C12100,United Kingdom
523419,21212,PACK OF 72 RETROSPOT CAKE CASES,9,2023-07-08,14.36,C12358,United Kingdom
554268,22960,JAM MAKING SET WITH JARS,32,2023-07-18,12.91,C12178,United Kingdom
533827,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,39,2022-06-20,8.5,C12221,United Kingdom
564044,22960,JAM MAKING SET WITH JARS,22,2023-11-13,17.67,C12159,Germany
518047,22752,SET 7 BABUSHKA NESTING BOXES,44,2022-11-27,4.14,C12283,United Kingdom
592787,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2023-09-25,4.94,C12189,Switzerland
594856,22960,JAM MAKING SET WITH JARS,39,2023-02-15,3.71,C12232,United Kingdom
561087,84029E,RED WOOLLY HOTTIE WHITE HEART,42,2023-01-09,7.08,C12224,United Kingdom
552733,22632,HAND WARMER RED POLKA DOT,49,2022-09-25,5.45,C12179,United Kingdom
526736,21730,GLASS STAR FROSTED T-LIGHT HOLDER,49,2022-03-22,3.39,C12385,United Kingdom
555680,71053,WHITE METAL LANTERN,23,2022-08-13,5.93,C12129,France
587455,23206,LUNCH BAG APPLE DESIGN,44,2023-12-11,9.23,C12125,United Kingdom
552083,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,17,2022-10-07,14.7,C12438,Netherlands
525184,71053,WHITE METAL LANTERN,11,2022-05-24,16.42,C12197,Belgium
502811,22632,HAND WARMER RED POLKA DOT,6,2023-10-22,14.07,C12123,United Kingdom
502911,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,2022-05-28,16.29,C12402,Norway
511111,21730,GLASS STAR FROSTED T-LIGHT HOLDER,40,2022-12-04,8.04,C12307,United Kingdom
585981,85123A,WHITE HANGING HEART T-LIGHT HOLDER,25,2023-02-19,4.58,C12266,France
502049,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2023-07-26,16.44,C12098,United Kingdom
507400,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2022-01-09,18.06,C12303,United Kingdom
559040,84406B,CREAM CUPID HEARTS COAT HANGER,16,2022-06-01,17.99,C12146,United Kingdom
548354,23207,LUNCH BAG PINK POLKADOT,36,2022-09-11,18.02,C12074,France
577505,85099B,JUMBO BAG RED RETROSPOT,25,2022-12-04,0.6,C12472,Australia
523328,84406B,CREAM CUPID HEARTS COAT HANGER,41,2023-08-03,3.93,C12207,United Kingdom
546214,21212,PACK OF 72 RETROSPOT CAKE CASES,20,2023-01-27,7.65,C12276,United Kingdom
519830,84406B,CREAM CUPID HEARTS COAT HANGER,48,2023-04-15,2.33,C12400,United Kingdom
505895,21212,PACK OF 72 RETROSPOT CAKE CASES,38,2023-03-14,8.17,C12157,United Kingdom
594660,71053,WHITE METAL LANTERN,33,2023-04-26,11.75,C12276,United Kingdom
573744,85099B,JUMBO BAG RED RETROSPOT,35,2023-05-27,15.49,C12146,United Kingdom
547202,20725,LUNCH BAG RED RETROSPOT,29,2023-06-02,5.95,C12219,United Kingdom
566235,22632,HAND WARMER RED POLKA DOT,29,2022-06-30,8.85,C12036,United Kingdom
585314,85123A,WHITE HANGING HEART T-LIGHT HOLDER,21,2022-06-10,4.22,C12115,United Kingdom
572991,22197,SMALL POPCORN HOLDER,3,2023-09-18,11.62,C12280,Netherlands
599713,22086,PAPER CHAIN KIT 50S CHRISTMAS,2,2023-05-05,5.46,C12341,United Kingdom
554748,21931,JUMBO STORAGE BAG SUKI,9,2022-06-25,14.2,C12103,United Kingdom
508716,84879,ASSORTED COLOUR BIRD ORNAMENT,35,2023-02-12,5.5,C12246,United Kingdom
570031,21730,GLASS STAR FROSTED T-LIGHT HOLDER,45,2023-05-27,4.29,C12312,United Kingdom
599157,21212,PACK OF 72 RETROSPOT CAKE CASES,15,2023-12-28,7.82,C12459,Switzerland
531024,23206,LUNCH BAG APPLE DESIGN,22,2022-12-08,12.02,C12152,United Kingdom
592772,23207,LUNCH BAG PINK POLKADOT,15,2023-03-20,7.52,C12169,United Kingdom
587235,85123A,WHITE HANGING HEART T-LIGHT HOLDER,44,2022-04-13,19.32,C12263,United Kingdom
594476,22752,SET 7 BABUSHKA NESTING BOXES,30,2023-10-18,11.04,C12364,Belgium
525945,22197,SMALL POPCORN HOLDER,19,2023-08-27,16.01,C12123,United Kingdom
566617,84029E,RED WOOLLY HOTTIE WHITE HEART,23,2023-10-03,8.85,C12473,United Kingdom
520056,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2023-07-14,11.21,C12238,United Kingdom
509662,22633,HAND WARMER UNION JACK,16,2023-12-05,10.58,C12236,United Kingdom
569042,84029E,RED WOOLLY HOTTIE WHITE HEART,3,2023-10-18,5.33,C12277,EIRE
544078,84029E,RED WOOLLY HOTTIE WHITE HEART,29,2022-03-10,2.76,C12085,United Kingdom
535247,21931,JUMBO STORAGE BAG SUKI,5,2022-08-06,9.75,C12093,United Kingdom
579605,21730,GLASS STAR FROSTED T-LIGHT HOLDER,30,2023-06-06,13.17,C12099,United Kingdom
509823,84029E,RED WOOLLY HOTTIE WHITE HEART,31,2023-10-21,0.8,C12099,United Kingdom
594704,85123A,WHITE HANGING HEART T-LIGHT HOLDER,16,2022-09-15,1.88,C12324,United Kingdom
593610,23207,LUNCH BAG PINK POLKADOT,35,2023-11-22,13.04,C12151,United Kingdom
589643,84029E,RED WOOLLY HOTTIE WHITE HEART,1,2022-02-12,19.24,C12267,United Kingdom
527350,22960,JAM MAKING SET WITH JARS,46,2023-05-14,0.86,C12011,Netherlands
576797,21931,JUMBO STORAGE BAG SUKI,29,2023-08-25,16.98,C12089,United Kingdom
526092,71053,WHITE METAL LANTERN,4,2023-09-18,14.01,C12114,United Kingdom
544425,47566,PARTY BUNTING,25,2023-11-07,16.17,C12412,United Kingdom
537841,84029E,RED WOOLLY HOTTIE WHITE HEART,35,2023-07-02,19.81,C12456,United Kingdom
544811,21931,JUMBO STORAGE BAG SUKI,24,2022-02-06,17.41,C12486,Belgium
514397,21931,JUMBO STORAGE BAG SUKI,23,2022-09-30,15.21,C12182,United Kingdom
547280,23207,LUNCH BAG PINK POLKADOT,22,2022-01-19,6.3,C12367,Australia
535270,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,41,2022-09-22,17.02,C12395,United Kingdom
586900,21212,PACK OF 72 RETROSPOT CAKE CASES,19,2022-05-24,10.11,C12222,United Kingdom
560566,84029E,RED WOOLLY HOTTIE WHITE HEART,25,2023-04-14,11.3,C12098,United Kingdom
511174,85099B,JUMBO BAG RED RETROSPOT,45,2022-07-05,18.65,C12056,United Kingdom
589930,21212,PACK OF 72 RETROSPOT CAKE CASES,35,2022-08-23,17.81,C12222,United Kingdom
572592,22197,SMALL POPCORN HOLDER,9,2023-05-07,15.35,C12238,Belgium
593105,22752,SET 7 BABUSHKA NESTING BOXES,13,2023-01-28,4.84,C12006,United Kingdom
513807,71053,WHITE METAL LANTERN,37,2023-10-10,5.05,C12004,United Kingdom
501324,22960,JAM MAKING SET WITH JARS,17,2022-08-05,18.97,C12320,Belgium
526790,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,31,2022-07-01,9.89,C12291,United Kingdom
504748,84879,ASSORTED COLOUR BIRD ORNAMENT,39,2022-06-22,8.97,C12345,United Kingdom
542918,22197,SMALL POPCORN HOLDER,20,2022-12-27,2.82,C12219,United Kingdom
599835,85123A,WHITE HANGING HEART T-LIGHT HOLDER,28,2022-07-10,19.26,C12386,Switzerland
567641,21931,JUMBO STORAGE BAG SUKI,33,2022-05-14,4.86,C12408,United Kingdom
520559,20725,LUNCH BAG RED RETROSPOT,45,2022-05-29,1.34,C12172,United Kingdom
571726,47566,PARTY BUNTING,35,2023-03-17,14.06,C12251,United Kingdom
568866,22632,HAND WARMER RED POLKA DOT,15,2023-01-08,9.36,C12304,United Kingdom
523959,85099B,JUMBO BAG RED RETROSPOT,11,2022-12-24,5.98,C12470,United Kingdom
531921,22633,HAND WARMER UNION JACK,36,2023-11-29,9.54,C12121,France
538088,84029E,RED WOOLLY HOTTIE WHITE HEART,27,2022-05-25,14.11,C12040,Norway
545445,85123A,WHITE HANGING HEART T-LIGHT HOLDER,28,2023-07-12,5.78,C12211,Switzerland
584791,22197,SMALL POPCORN HOLDER,47,2022-01-10,18.42,C12370,United Kingdom
508415,22197,SMALL POPCORN HOLDER,33,2022-05-26,15.66,C12250,United Kingdom
520309,22086,PAPER CHAIN KIT 50S CHRISTMAS,21,2022-08-05,15.12,C12176,United Kingdom
500384,21931,JUMBO STORAGE BAG SUKI,34,2023-05-26,1.22,C12460,United Kingdom
580642,85099B,JUMBO BAG RED RETROSPOT,28,2023-10-07,16.35,C12310,United Kingdom
556397,84029E,RED WOOLLY HOTTIE WHITE HEART,10,2022-05-25,17.07,C12052,United Kingdom
570080,22632,HAND WARMER RED POLKA DOT,45,2023-03-22,12.32,C12365,United Kingdom
514489,21931,JUMBO STORAGE BAG SUKI,34,2022-03-13,7.48,C12487,United Kingdom
524285,71053,WHITE METAL LANTERN,12,2022-08-24,16.42,C12437,United Kingdom
